Input Graph(V=500, E=2184) {
e{{15}->{287}, 3395.0}
e{{15}->{302}, 9956.0}
e{{15}->{496}, 783.0}
e{{15}->{211}, -290.0}
e{{15}->{242}, -1132.0}

e{{16}->{275}, -7206.0}
e{{16}->{93}, 4136.0}
e{{16}->{369}, -1699.0}
e{{16}->{49}, 2410.0}
e{{16}->{17}, -4370.0}
e{{16}->{248}, 6820.0}
e{{16}->{110}, 221.0}
e{{16}->{15}, -7753.0}

e{{17}->{248}, 5899.0}
e{{17}->{376}, 5972.0}
e{{17}->{185}, 5372.0}
e{{17}->{212}, 7481.0}
e{{17}->{432}, -2484.0}
e{{17}->{427}, 7949.0}
e{{17}->{92}, 4535.0}
e{{17}->{9}, -3864.0}
e{{17}->{35}, -2706.0}
e{{17}->{18}, 267.0}
e{{17}->{16}, -4370.0}
e{{17}->{317}, 2595.0}
e{{17}->{69}, -1754.0}
e{{17}->{272}, 5930.0}

e{{18}->{17}, 267.0}
e{{18}->{19}, 903.0}
e{{18}->{433}, -9810.0}
e{{18}->{451}, 6558.0}
e{{18}->{241}, 3362.0}
e{{18}->{279}, 2815.0}

e{{19}->{20}, 7674.0}
e{{19}->{240}, -4667.0}
e{{19}->{328}, -8231.0}
e{{19}->{367}, -5912.0}
e{{19}->{474}, -590.0}
e{{19}->{335}, -7787.0}
e{{19}->{18}, 903.0}

e{{20}->{12}, -686.0}
e{{20}->{307}, 1045.0}
e{{20}->{278}, 7668.0}
e{{20}->{129}, 356.0}
e{{20}->{207}, -9098.0}
e{{20}->{21}, 5436.0}
e{{20}->{237}, -3298.0}
e{{20}->{336}, -1814.0}
e{{20}->{19}, 7674.0}
e{{20}->{115}, -7690.0}
e{{20}->{385}, 904.0}

e{{21}->{185}, 6092.0}
e{{21}->{167}, 3714.0}
e{{21}->{20}, 5436.0}
e{{21}->{175}, 1947.0}
e{{21}->{285}, 6656.0}
e{{21}->{352}, 1462.0}
e{{21}->{22}, 9479.0}

e{{22}->{21}, 9479.0}
e{{22}->{85}, -9225.0}
e{{22}->{101}, -9660.0}
e{{22}->{479}, -2180.0}
e{{22}->{46}, 8371.0}
e{{22}->{416}, -4591.0}
e{{22}->{208}, -7025.0}
e{{22}->{237}, -508.0}
e{{22}->{156}, -9282.0}
e{{22}->{63}, -7119.0}
e{{22}->{23}, 9432.0}

e{{23}->{22}, 9432.0}
e{{23}->{198}, 3114.0}
e{{23}->{24}, 4472.0}
e{{23}->{117}, 7541.0}

e{{24}->{297}, 3760.0}
e{{24}->{23}, 4472.0}
e{{24}->{348}, 48.0}
e{{24}->{25}, 7258.0}
e{{24}->{89}, 401.0}
e{{24}->{42}, 5136.0}
e{{24}->{268}, 5400.0}
e{{24}->{13}, -9600.0}

e{{25}->{288}, -3078.0}
e{{25}->{315}, 1949.0}
e{{25}->{328}, 4495.0}
e{{25}->{278}, 6246.0}
e{{25}->{26}, 8709.0}
e{{25}->{24}, 7258.0}
e{{25}->{281}, -2140.0}
e{{25}->{2}, 6267.0}

e{{26}->{94}, 6394.0}
e{{26}->{25}, 8709.0}
e{{26}->{80}, 3206.0}
e{{26}->{366}, -7642.0}
e{{26}->{322}, -560.0}
e{{26}->{436}, 2275.0}
e{{26}->{432}, 4115.0}
e{{26}->{260}, -6981.0}
e{{26}->{27}, 4358.0}
e{{26}->{226}, -6114.0}

e{{27}->{26}, 4358.0}
e{{27}->{30}, 2964.0}
e{{27}->{372}, 69.0}
e{{27}->{28}, -6775.0}
e{{27}->{189}, 3311.0}
e{{27}->{99}, 6073.0}

e{{28}->{93}, 1885.0}
e{{28}->{496}, 843.0}
e{{28}->{260}, 5134.0}
e{{28}->{458}, -9550.0}
e{{28}->{27}, -6775.0}
e{{28}->{29}, 68.0}
e{{28}->{192}, -2679.0}
e{{28}->{284}, 8488.0}

e{{29}->{28}, 68.0}
e{{29}->{66}, 7663.0}
e{{29}->{83}, 1029.0}
e{{29}->{30}, -2849.0}
e{{29}->{61}, -9929.0}
e{{29}->{142}, -5099.0}

e{{30}->{490}, -5396.0}
e{{30}->{29}, -2849.0}
e{{30}->{31}, -9951.0}
e{{30}->{27}, 2964.0}
e{{30}->{288}, 8221.0}
e{{30}->{324}, -9689.0}
e{{30}->{373}, -5022.0}

e{{31}->{156}, -9373.0}
e{{31}->{414}, -2222.0}
e{{31}->{443}, -1030.0}
e{{31}->{272}, 1807.0}
e{{31}->{30}, -9951.0}
e{{31}->{267}, -1337.0}
e{{31}->{475}, 5263.0}
e{{31}->{107}, -9611.0}
e{{31}->{232}, 2075.0}
e{{31}->{32}, -8643.0}
e{{31}->{221}, 7268.0}
e{{31}->{70}, 5151.0}

e{{32}->{376}, -5448.0}
e{{32}->{443}, -4981.0}
e{{32}->{31}, -8643.0}
e{{32}->{462}, 2102.0}
e{{32}->{333}, -5050.0}
e{{32}->{433}, -4768.0}
e{{32}->{213}, 4162.0}
e{{32}->{33}, -4010.0}

e{{33}->{32}, -4010.0}
e{{33}->{147}, -865.0}
e{{33}->{102}, 3685.0}
e{{33}->{392}, 2279.0}
e{{33}->{34}, -4667.0}
e{{33}->{301}, -7033.0}
e{{33}->{413}, 7099.0}

e{{34}->{268}, 9651.0}
e{{34}->{456}, -5727.0}
e{{34}->{33}, -4667.0}
e{{34}->{35}, -5829.0}
e{{34}->{357}, 1218.0}
e{{34}->{375}, 3935.0}
e{{34}->{417}, 6302.0}
e{{34}->{439}, 2083.0}
e{{34}->{169}, -9727.0}
e{{34}->{211}, 8366.0}

e{{35}->{225}, -9215.0}
e{{35}->{17}, -2706.0}
e{{35}->{34}, -5829.0}
e{{35}->{493}, 3571.0}
e{{35}->{36}, -5222.0}
e{{35}->{362}, 8945.0}
e{{35}->{315}, 6631.0}

e{{36}->{37}, -7609.0}
e{{36}->{62}, -1242.0}
e{{36}->{35}, -5222.0}
e{{36}->{292}, -6348.0}
e{{36}->{497}, -5712.0}
e{{36}->{301}, 2079.0}
e{{36}->{178}, 6305.0}

e{{37}->{303}, -562.0}
e{{37}->{38}, 3054.0}
e{{37}->{476}, 4790.0}
e{{37}->{36}, -7609.0}

e{{38}->{246}, 3710.0}
e{{38}->{471}, 3819.0}
e{{38}->{365}, 6473.0}
e{{38}->{395}, 7492.0}
e{{38}->{37}, 3054.0}
e{{38}->{373}, -6005.0}
e{{38}->{126}, -761.0}
e{{38}->{235}, -1218.0}
e{{38}->{456}, -4670.0}
e{{38}->{179}, 2305.0}
e{{38}->{267}, 8612.0}
e{{38}->{376}, 247.0}
e{{38}->{39}, 7935.0}
e{{38}->{388}, -7439.0}

e{{39}->{38}, 7935.0}
e{{39}->{193}, -3940.0}
e{{39}->{299}, -1837.0}
e{{39}->{122}, -6276.0}
e{{39}->{40}, 173.0}
e{{39}->{2}, 907.0}
e{{39}->{170}, 5316.0}

e{{40}->{81}, -5474.0}
e{{40}->{161}, 2640.0}
e{{40}->{322}, -5174.0}
e{{40}->{39}, 173.0}
e{{40}->{45}, -1173.0}
e{{40}->{41}, 9596.0}
e{{40}->{336}, -7189.0}
e{{40}->{143}, 1350.0}
e{{40}->{387}, 3360.0}

e{{41}->{220}, -1776.0}
e{{41}->{66}, -4827.0}
e{{41}->{336}, 6677.0}
e{{41}->{40}, 9596.0}
e{{41}->{376}, 608.0}
e{{41}->{183}, -9848.0}
e{{41}->{100}, 9346.0}
e{{41}->{281}, 5319.0}
e{{41}->{42}, -4557.0}
e{{41}->{186}, 8129.0}
e{{41}->{286}, 1270.0}

e{{42}->{131}, 4949.0}
e{{42}->{41}, -4557.0}
e{{42}->{63}, 3020.0}
e{{42}->{24}, 5136.0}
e{{42}->{43}, -4823.0}
e{{42}->{268}, 712.0}

e{{43}->{4}, 566.0}
e{{43}->{44}, -6198.0}
e{{43}->{482}, 8283.0}
e{{43}->{406}, -1432.0}
e{{43}->{431}, 1393.0}
e{{43}->{11}, 4323.0}
e{{43}->{258}, 5745.0}
e{{43}->{168}, 4635.0}
e{{43}->{247}, 8258.0}
e{{43}->{154}, -9305.0}
e{{43}->{42}, -4823.0}
e{{43}->{123}, 6522.0}
e{{43}->{319}, -1878.0}
e{{43}->{415}, 7553.0}
e{{43}->{428}, 9924.0}

e{{44}->{231}, 4764.0}
e{{44}->{297}, 339.0}
e{{44}->{66}, 6927.0}
e{{44}->{456}, 6604.0}
e{{44}->{43}, -6198.0}
e{{44}->{197}, -7215.0}
e{{44}->{45}, 8450.0}
e{{44}->{317}, 4376.0}
e{{44}->{249}, 7757.0}
e{{44}->{422}, -1459.0}

e{{45}->{68}, -2951.0}
e{{45}->{202}, -8727.0}
e{{45}->{436}, 5789.0}
e{{45}->{44}, 8450.0}
e{{45}->{291}, -3145.0}
e{{45}->{46}, 5533.0}
e{{45}->{385}, 8454.0}
e{{45}->{496}, -5065.0}
e{{45}->{219}, 1607.0}
e{{45}->{353}, -6425.0}
e{{45}->{40}, -1173.0}
e{{45}->{304}, -9980.0}
e{{45}->{403}, 9929.0}
e{{45}->{495}, 9024.0}

e{{46}->{259}, -6561.0}
e{{46}->{382}, 3499.0}
e{{46}->{214}, -8927.0}
e{{46}->{342}, -2272.0}
e{{46}->{452}, 3501.0}
e{{46}->{22}, 8371.0}
e{{46}->{45}, 5533.0}
e{{46}->{47}, -6059.0}
e{{46}->{171}, -3812.0}
e{{46}->{351}, 8878.0}
e{{46}->{305}, -4498.0}
e{{46}->{372}, 5199.0}

e{{47}->{48}, 7411.0}
e{{47}->{88}, 9400.0}
e{{47}->{71}, 9490.0}
e{{47}->{58}, -3931.0}
e{{47}->{46}, -6059.0}
e{{47}->{418}, -4973.0}
e{{47}->{103}, -1551.0}

e{{48}->{372}, 823.0}
e{{48}->{380}, -8760.0}
e{{48}->{309}, -2321.0}
e{{48}->{396}, 6428.0}
e{{48}->{49}, 9102.0}
e{{48}->{47}, 7411.0}
e{{48}->{159}, -3810.0}

e{{49}->{50}, 914.0}
e{{49}->{484}, -6785.0}
e{{49}->{95}, -3905.0}
e{{49}->{459}, 2431.0}
e{{49}->{255}, -2211.0}
e{{49}->{48}, 9102.0}
e{{49}->{125}, 993.0}
e{{49}->{16}, 2410.0}
e{{49}->{251}, -2191.0}
e{{49}->{196}, 2779.0}
e{{49}->{279}, -2141.0}

e{{50}->{65}, 4266.0}
e{{50}->{177}, 2525.0}
e{{50}->{51}, 9501.0}
e{{50}->{194}, 9155.0}
e{{50}->{297}, -1225.0}
e{{50}->{49}, 914.0}
e{{50}->{228}, -4294.0}

e{{51}->{50}, 9501.0}
e{{51}->{316}, -1958.0}
e{{51}->{52}, 2704.0}
e{{51}->{327}, -9020.0}
e{{51}->{177}, 1630.0}
e{{51}->{223}, 6854.0}

e{{52}->{455}, 6943.0}
e{{52}->{322}, 8467.0}
e{{52}->{163}, -9821.0}
e{{52}->{51}, 2704.0}
e{{52}->{238}, -8566.0}
e{{52}->{185}, -8731.0}
e{{52}->{128}, -6427.0}
e{{52}->{443}, 8943.0}
e{{52}->{53}, -140.0}

e{{53}->{52}, -140.0}
e{{53}->{414}, -507.0}
e{{53}->{54}, 1179.0}
e{{53}->{70}, -5040.0}

e{{54}->{53}, 1179.0}
e{{54}->{55}, -1572.0}
e{{54}->{298}, 8138.0}
e{{54}->{367}, -863.0}
e{{54}->{208}, 5922.0}

e{{55}->{56}, 7095.0}
e{{55}->{211}, 7740.0}
e{{55}->{138}, -184.0}
e{{55}->{188}, -944.0}
e{{55}->{74}, -9806.0}
e{{55}->{111}, -3854.0}
e{{55}->{54}, -1572.0}

e{{56}->{65}, 9727.0}
e{{56}->{239}, 1609.0}
e{{56}->{57}, 3613.0}
e{{56}->{141}, 3669.0}
e{{56}->{475}, -6542.0}
e{{56}->{214}, 1623.0}
e{{56}->{244}, 7576.0}
e{{56}->{55}, 7095.0}

e{{57}->{258}, -5160.0}
e{{57}->{365}, 7655.0}
e{{57}->{58}, 5888.0}
e{{57}->{421}, -4680.0}
e{{57}->{176}, -130.0}
e{{57}->{56}, 3613.0}

e{{58}->{333}, -6694.0}
e{{58}->{57}, 5888.0}
e{{58}->{47}, -3931.0}
e{{58}->{59}, -4184.0}

e{{59}->{60}, 1910.0}
e{{59}->{58}, -4184.0}
e{{59}->{343}, -4103.0}
e{{59}->{257}, 3130.0}
e{{59}->{267}, 3293.0}
e{{59}->{424}, 9400.0}
e{{59}->{445}, 3970.0}
e{{59}->{326}, 185.0}
e{{59}->{158}, -9038.0}
e{{59}->{403}, -5780.0}

e{{60}->{456}, 4219.0}
e{{60}->{75}, -4458.0}
e{{60}->{158}, 5691.0}
e{{60}->{98}, 1851.0}
e{{60}->{281}, -2544.0}
e{{60}->{61}, 4401.0}
e{{60}->{454}, 632.0}
e{{60}->{151}, 5579.0}
e{{60}->{152}, -5617.0}
e{{60}->{427}, 2681.0}
e{{60}->{483}, -953.0}
e{{60}->{337}, 302.0}
e{{60}->{59}, 1910.0}

e{{61}->{372}, 5879.0}
e{{61}->{338}, 1664.0}
e{{61}->{60}, 4401.0}
e{{61}->{13}, 5960.0}
e{{61}->{88}, -8574.0}
e{{61}->{83}, -7267.0}
e{{61}->{429}, 2849.0}
e{{61}->{62}, 591.0}
e{{61}->{29}, -9929.0}

e{{62}->{83}, 6359.0}
e{{62}->{477}, -4003.0}
e{{62}->{365}, 8961.0}
e{{62}->{61}, 591.0}
e{{62}->{286}, 2939.0}
e{{62}->{235}, -6507.0}
e{{62}->{270}, 5311.0}
e{{62}->{318}, 5306.0}
e{{62}->{480}, 9555.0}
e{{62}->{63}, -9504.0}
e{{62}->{36}, -1242.0}
e{{62}->{173}, -7617.0}

e{{63}->{267}, -8209.0}
e{{63}->{210}, -3653.0}
e{{63}->{62}, -9504.0}
e{{63}->{64}, 3116.0}
e{{63}->{22}, -7119.0}
e{{63}->{108}, 9903.0}
e{{63}->{498}, -5460.0}
e{{63}->{42}, 3020.0}
e{{63}->{364}, 1907.0}
e{{63}->{152}, -1476.0}
e{{63}->{477}, 7451.0}

e{{64}->{65}, -6230.0}
e{{64}->{14}, -1515.0}
e{{64}->{63}, 3116.0}
e{{64}->{148}, -7784.0}
e{{64}->{68}, 5150.0}

e{{65}->{66}, 1867.0}
e{{65}->{200}, 1627.0}
e{{65}->{496}, 5155.0}
e{{65}->{470}, -7730.0}
e{{65}->{56}, 9727.0}
e{{65}->{109}, -7488.0}
e{{65}->{474}, 3282.0}
e{{65}->{128}, 3617.0}
e{{65}->{86}, 4268.0}
e{{65}->{340}, 4849.0}
e{{65}->{64}, -6230.0}
e{{65}->{50}, 4266.0}
e{{65}->{232}, -9315.0}
e{{65}->{366}, -3340.0}
e{{65}->{444}, 6600.0}

e{{66}->{67}, 3816.0}
e{{66}->{108}, -8381.0}
e{{66}->{44}, 6927.0}
e{{66}->{29}, 7663.0}
e{{66}->{41}, -4827.0}
e{{66}->{65}, 1867.0}

e{{67}->{317}, 2463.0}
e{{67}->{80}, -1948.0}
e{{67}->{228}, -3447.0}
e{{67}->{122}, 842.0}
e{{67}->{478}, 8343.0}
e{{67}->{342}, -9488.0}
e{{67}->{68}, 2402.0}
e{{67}->{105}, 8218.0}
e{{67}->{230}, -5611.0}
e{{67}->{66}, 3816.0}

e{{68}->{69}, 7667.0}
e{{68}->{491}, -3209.0}
e{{68}->{67}, 2402.0}
e{{68}->{64}, 5150.0}
e{{68}->{131}, 5136.0}
e{{68}->{485}, -4213.0}
e{{68}->{45}, -2951.0}

e{{69}->{265}, -6541.0}
e{{69}->{70}, -3532.0}
e{{69}->{302}, -4544.0}
e{{69}->{407}, -3295.0}
e{{69}->{308}, -3058.0}
e{{69}->{117}, 9912.0}
e{{69}->{156}, 9814.0}
e{{69}->{11}, 171.0}
e{{69}->{17}, -1754.0}
e{{69}->{68}, 7667.0}

e{{70}->{31}, 5151.0}
e{{70}->{480}, 4684.0}
e{{70}->{398}, 4925.0}
e{{70}->{53}, -5040.0}
e{{70}->{71}, -2985.0}
e{{70}->{76}, 7741.0}
e{{70}->{69}, -3532.0}

e{{71}->{266}, 845.0}
e{{71}->{402}, 9580.0}
e{{71}->{429}, 1518.0}
e{{71}->{72}, -3462.0}
e{{71}->{47}, 9490.0}
e{{71}->{439}, -3117.0}
e{{71}->{337}, 8723.0}
e{{71}->{170}, -9236.0}
e{{71}->{70}, -2985.0}

e{{72}->{212}, -8966.0}
e{{72}->{322}, -4104.0}
e{{72}->{399}, 1870.0}
e{{72}->{468}, 9545.0}
e{{72}->{153}, -9242.0}
e{{72}->{71}, -3462.0}
e{{72}->{73}, 7737.0}

e{{73}->{72}, 7737.0}
e{{73}->{448}, 5790.0}
e{{73}->{6}, 7693.0}
e{{73}->{489}, -3208.0}
e{{73}->{121}, 784.0}
e{{73}->{181}, -3188.0}
e{{73}->{380}, -9971.0}
e{{73}->{165}, 1423.0}
e{{73}->{74}, 8886.0}
e{{73}->{494}, -2348.0}

e{{74}->{73}, 8886.0}
e{{74}->{75}, -102.0}
e{{74}->{55}, -9806.0}
e{{74}->{433}, 3831.0}
e{{74}->{102}, -3527.0}

e{{75}->{146}, -2873.0}
e{{75}->{159}, 1589.0}
e{{75}->{76}, -3013.0}
e{{75}->{422}, -9088.0}
e{{75}->{74}, -102.0}
e{{75}->{227}, 3195.0}
e{{75}->{60}, -4458.0}
e{{75}->{424}, 6637.0}

e{{76}->{102}, 5298.0}
e{{76}->{70}, 7741.0}
e{{76}->{101}, -2248.0}
e{{76}->{411}, -2763.0}
e{{76}->{226}, 504.0}
e{{76}->{75}, -3013.0}
e{{76}->{235}, -5966.0}
e{{76}->{467}, -8172.0}
e{{76}->{77}, 9948.0}
e{{76}->{216}, 929.0}

e{{77}->{4}, -3033.0}
e{{77}->{352}, -3500.0}
e{{77}->{368}, -2876.0}
e{{77}->{76}, 9948.0}
e{{77}->{404}, -3515.0}
e{{77}->{339}, -2060.0}
e{{77}->{111}, 8021.0}
e{{77}->{143}, 4466.0}
e{{77}->{233}, -3445.0}
e{{77}->{78}, 8032.0}

e{{78}->{77}, 8032.0}
e{{78}->{79}, -841.0}
e{{78}->{188}, 4530.0}
e{{78}->{292}, -1847.0}
e{{78}->{328}, 1681.0}
e{{78}->{206}, 4630.0}
e{{78}->{466}, 2597.0}

e{{79}->{278}, 3258.0}
e{{79}->{492}, -9964.0}
e{{79}->{258}, 5017.0}
e{{79}->{368}, 2668.0}
e{{79}->{85}, 8242.0}
e{{79}->{78}, -841.0}
e{{79}->{99}, 5505.0}
e{{79}->{164}, 2631.0}
e{{79}->{418}, 484.0}
e{{79}->{80}, 7663.0}
e{{79}->{181}, -5362.0}

e{{80}->{79}, 7663.0}
e{{80}->{313}, -2736.0}
e{{80}->{67}, -1948.0}
e{{80}->{81}, 8974.0}
e{{80}->{166}, 2315.0}
e{{80}->{440}, 6285.0}
e{{80}->{26}, 3206.0}
e{{80}->{151}, -162.0}

e{{81}->{80}, 8974.0}
e{{81}->{409}, 9533.0}
e{{81}->{139}, -1971.0}
e{{81}->{82}, 5234.0}
e{{81}->{143}, 6518.0}
e{{81}->{407}, 8131.0}
e{{81}->{373}, 1288.0}
e{{81}->{106}, -5778.0}
e{{81}->{40}, -5474.0}

e{{82}->{83}, -3366.0}
e{{82}->{111}, -3874.0}
e{{82}->{364}, -675.0}
e{{82}->{442}, 2404.0}
e{{82}->{94}, -7789.0}
e{{82}->{4}, -6069.0}
e{{82}->{158}, 5544.0}
e{{82}->{81}, 5234.0}
e{{82}->{382}, -25.0}
e{{82}->{469}, -9808.0}
e{{82}->{322}, 981.0}

e{{83}->{308}, -7277.0}
e{{83}->{203}, -8557.0}
e{{83}->{233}, -3328.0}
e{{83}->{29}, 1029.0}
e{{83}->{183}, 6801.0}
e{{83}->{445}, -6696.0}
e{{83}->{61}, -7267.0}
e{{83}->{285}, 1818.0}
e{{83}->{82}, -3366.0}
e{{83}->{84}, 3926.0}
e{{83}->{62}, 6359.0}
e{{83}->{325}, 7198.0}
e{{83}->{260}, -5134.0}
e{{83}->{340}, -8417.0}

e{{84}->{83}, 3926.0}
e{{84}->{499}, 8931.0}
e{{84}->{95}, -7979.0}
e{{84}->{443}, 55.0}
e{{84}->{85}, 2583.0}
e{{84}->{246}, 2363.0}

e{{85}->{212}, 8077.0}
e{{85}->{482}, -1971.0}
e{{85}->{86}, 3295.0}
e{{85}->{84}, 2583.0}
e{{85}->{79}, 8242.0}
e{{85}->{363}, -7094.0}
e{{85}->{22}, -9225.0}
e{{85}->{124}, 8625.0}

e{{86}->{219}, -6473.0}
e{{86}->{87}, -3398.0}
e{{86}->{65}, 4268.0}
e{{86}->{244}, 3250.0}
e{{86}->{85}, 3295.0}
e{{86}->{213}, -7043.0}
e{{86}->{250}, 2638.0}

e{{87}->{226}, -9223.0}
e{{87}->{376}, -3699.0}
e{{87}->{15}, -1165.0}
e{{87}->{250}, 9825.0}
e{{87}->{157}, 8589.0}
e{{87}->{86}, -3398.0}
e{{87}->{88}, 1058.0}
e{{87}->{122}, -8824.0}

e{{88}->{453}, -8693.0}
e{{88}->{87}, 1058.0}
e{{88}->{353}, 9832.0}
e{{88}->{326}, 9694.0}
e{{88}->{100}, 2465.0}
e{{88}->{477}, -6582.0}
e{{88}->{61}, -8574.0}
e{{88}->{89}, 2518.0}
e{{88}->{158}, 2060.0}
e{{88}->{47}, 9400.0}

e{{89}->{88}, 2518.0}
e{{89}->{195}, 7734.0}
e{{89}->{296}, -4929.0}
e{{89}->{247}, 5263.0}
e{{89}->{24}, 401.0}
e{{89}->{320}, 4386.0}
e{{89}->{451}, 3579.0}
e{{89}->{90}, 2141.0}

e{{90}->{110}, -6267.0}
e{{90}->{89}, 2141.0}
e{{90}->{484}, 5215.0}
e{{90}->{216}, 4668.0}
e{{90}->{316}, -4576.0}
e{{90}->{165}, 1787.0}
e{{90}->{91}, 8894.0}
e{{90}->{225}, -2733.0}

e{{91}->{92}, 7151.0}
e{{91}->{139}, -3658.0}
e{{91}->{269}, -6675.0}
e{{91}->{90}, 8894.0}
e{{91}->{3}, -8754.0}
e{{91}->{489}, -1308.0}
e{{91}->{499}, -3787.0}
e{{91}->{373}, 3480.0}
e{{91}->{149}, 7220.0}
e{{91}->{451}, 2897.0}

e{{92}->{141}, -7312.0}
e{{92}->{409}, -8102.0}
e{{92}->{196}, -4884.0}
e{{92}->{386}, -1598.0}
e{{92}->{93}, -1766.0}
e{{92}->{332}, -403.0}
e{{92}->{493}, 2864.0}
e{{92}->{17}, 4535.0}
e{{92}->{437}, 1630.0}
e{{92}->{91}, 7151.0}
e{{92}->{143}, 2041.0}
e{{92}->{292}, -745.0}

e{{93}->{4}, -2804.0}
e{{93}->{154}, 8264.0}
e{{93}->{477}, 3753.0}
e{{93}->{312}, 9854.0}
e{{93}->{399}, 1519.0}
e{{93}->{94}, -8183.0}
e{{93}->{438}, -3043.0}
e{{93}->{92}, -1766.0}
e{{93}->{16}, 4136.0}
e{{93}->{28}, 1885.0}

e{{94}->{95}, 1773.0}
e{{94}->{93}, -8183.0}
e{{94}->{174}, -6255.0}
e{{94}->{26}, 6394.0}
e{{94}->{82}, -7789.0}
e{{94}->{127}, -2436.0}
e{{94}->{405}, 4629.0}
e{{94}->{447}, -8934.0}
e{{94}->{338}, 9500.0}

e{{95}->{247}, 166.0}
e{{95}->{96}, -6715.0}
e{{95}->{259}, 5691.0}
e{{95}->{174}, 6189.0}
e{{95}->{84}, -7979.0}
e{{95}->{344}, -3188.0}
e{{95}->{429}, 9747.0}
e{{95}->{483}, -3586.0}
e{{95}->{309}, 7280.0}
e{{95}->{327}, 914.0}
e{{95}->{179}, -3930.0}
e{{95}->{49}, -3905.0}
e{{95}->{94}, 1773.0}
e{{95}->{487}, 2890.0}

e{{96}->{390}, 6294.0}
e{{96}->{204}, -2433.0}
e{{96}->{499}, 9686.0}
e{{96}->{97}, -9266.0}
e{{96}->{95}, -6715.0}

e{{97}->{147}, -6620.0}
e{{97}->{339}, 1693.0}
e{{97}->{235}, -5079.0}
